text,label
"BREAKING: elites are planning a one-world takeover this year and they don't want you to know. Number 7 will leave you speechless. Do this NOW, you won't believe what happens next!",1
"BOMBSHELL the climate summit is a front for elites to seize your money and freedom, according to a leaked document. Wake up before it's too late, this is the truth THEY have hidden from you for years.",1
"A parliamentary committee set out a plan to expand renewable energy capacity, according to preliminary data reviewed on Friday. Further talks are scheduled in the coming weeks.",0
"The interior ministry outlined reforms to the public health system, a spokesperson told reporters on Thursday. The opposition called for further details before giving its support.",0
THEY LIED: a secret cabal is rigging prices to control the population and they don't want you to know. The mainstream media is PAID to keep you in the dark. Click now before THEY ban it!,1
"The finance ministry opened a review of housing affordability rules, according to documents seen by local media. Several economists welcomed the decision while urging caution.",0
URGENT: elites are planning a one-world takeover this year and they don't want you to know. Wake up before it is too late. Click now before THEY ban it!,1
"A parliamentary committee outlined reforms to the public health system, according to a statement released on Tuesday. Community groups said they would monitor how the rules are applied.",0
"The national weather service raised the minimum wage for the coming year, the ministry said in an official release. Critics argued the plan did not go far enough.",0
THEY LIED: free unlimited energy exists but big corporations buried it and they don't want you to know. Big corporations have tried to bury this a thousand times. Share this before it gets DELETED forever!,1
"INSANE: the news you watch is scripted by the same twelve families and they don't want you to know. Number 7 will leave you speechless. Do this NOW, you won't believe what happens next!",1
INSANE: elites are planning a one-world takeover this year and they don't want you to know. Number 7 will leave you speechless. Click now before THEY ban it!,1
"The health ministry presented the annual budget to parliament, the agency confirmed in a written notice. Several economists welcomed the decision while urging caution.",0
EXPOSED: vaccines contain microchips that track your every move and they don't want you to know. The mainstream media is PAID to keep you in the dark. Forward to everyone you love before it's too late!,1
URGENT: elites are planning a one-world takeover this year and they don't want you to know. Insiders who spoke out have already gone missing. Forward to everyone you love before it's too late!,1
"MIRACLE breakthrough: this common fruit melts belly fat overnight and doctors HATE it because it destroys their billion-dollar industry. The recipe big corporations tried to ban is finally exposed, share before it's gone.",1
"BANNED VIDEO: elites are planning a one-world takeover this year and they don't want you to know. Insiders who spoke out have already gone missing. Do this NOW, you won't believe what happens next!",1
"The transport authority launched an inquiry into the recent data breach, a spokesperson told reporters on Thursday. Analysts said the move was broadly in line with expectations.",0
"The national weather service issued a flood warning for low-lying coastal areas, the agency confirmed in a written notice. Several economists welcomed the decision while urging caution.",0
"BANNED VIDEO: this stock will make you a millionaire overnight, guaranteed and they don't want you to know. Number 7 will leave you speechless. Do this NOW, you won't believe what happens next!",1
"A regulator signed a trade agreement with a neighbouring country, according to a statement released on Tuesday. Critics argued the plan did not go far enough.",0
"A regulator unveiled a relief package for areas hit by drought, the agency confirmed in a written notice. Further talks are scheduled in the coming weeks.",0
"The defence ministry reported progress in talks over the disputed border, the agency confirmed in a written notice. Community groups said they would monitor how the rules are applied.",0
"Delegates at a United Nations climate session reviewed progress on emissions targets this week, with several governments presenting updated national plans. Negotiators said disagreements remained over financing for developing countries ahead of the next summit.",0
"Lawmakers imposed new limits on certain imports, a spokesperson told reporters on Thursday. Further talks are scheduled in the coming weeks.",0
"The government reported a steady drop in unemployment over the quarter, according to a statement released on Tuesday. Community groups said they would monitor how the rules are applied.",0
"Tens of thousands of ultra-Orthodox Israelis protested across the country on Monday against mandatory military enlistment, blocking roads and rail lines. Police said major routes were reopened by the evening as demonstrations continued in several cities.",0
WAKE UP: 5G towers are secretly controlling your mind and the weather and they don't want you to know. This is the truth THEY have hidden for years. Click now before THEY ban it!,1
BOMBSHELL: the news you watch is scripted by the same twelve families and they don't want you to know. Big corporations have tried to bury this a thousand times. Save this post before it vanishes tonight!,1
WAKE UP: elites are planning a one-world takeover this year and they don't want you to know. Insiders who spoke out have already gone missing. Spread the truth before your account is shadow-banned!,1
"BREAKING: vaccines contain microchips that track your every move and they don't want you to know. Big corporations have tried to bury this a thousand times. The powerful don't want you to see this, hurry!",1
"The health ministry confirmed the timeline for the upcoming election, the ministry said in an official release. Critics argued the plan did not go far enough.",0
"The central bank reported a steady drop in unemployment over the quarter, officials said at a news conference on Wednesday. Community groups said they would monitor how the rules are applied.",0
"The trade ministry imposed new limits on certain imports, according to preliminary data reviewed on Friday. Further talks are scheduled in the coming weeks.",0
"The interior ministry agreed to extend the existing ceasefire by another month, according to preliminary data reviewed on Friday. Further talks are scheduled in the coming weeks.",0
BOMBSHELL: a banned remedy reverses aging in just three days and they don't want you to know. Number 7 will leave you speechless. Share this before it gets DELETED forever!,1
THEY LIED: vaccines contain microchips that track your every move and they don't want you to know. Big corporations have tried to bury this a thousand times. Save this post before it vanishes tonight!,1
BREAKING: vaccines contain microchips that track your every move and they don't want you to know. The mainstream media is PAID to keep you in the dark. Forward to everyone you love before it's too late!,1
EXPOSED: the news you watch is scripted by the same twelve families and they don't want you to know. Wake up before it is too late. Forward to everyone you love before it's too late!,1
"Lawmakers presented the annual budget to parliament, officials said at a news conference on Wednesday. Markets reacted modestly to the news.",0
"The government agreed to extend the existing ceasefire by another month, according to documents seen by local media. Critics argued the plan did not go far enough.",0
"The government presented the annual budget to parliament, according to figures published this week. Analysts said the move was broadly in line with expectations.",0
MUST SEE: 5G towers are secretly controlling your mind and the weather and they don't want you to know. The mainstream media is PAID to keep you in the dark. Save this post before it vanishes tonight!,1
"A parliamentary committee reported a steady drop in unemployment over the quarter, a spokesperson told reporters on Thursday. Critics argued the plan did not go far enough.",0
WAKE UP: 5G towers are secretly controlling your mind and the weather and they don't want you to know. Wake up before it is too late. Watch before this is scrubbed from the internet!,1
"Election officials raised the minimum wage for the coming year, the agency confirmed in a written notice. Critics argued the plan did not go far enough.",0
BOMBSHELL: 5G towers are secretly controlling your mind and the weather and they don't want you to know. The mainstream media is PAID to keep you in the dark. Click now before THEY ban it!,1
LEAKED: this one weird trick cures every disease overnight and doctors hate it and they don't want you to know. Wake up before it is too late. Save this post before it vanishes tonight!,1
THEY LIED: vaccines contain microchips that track your every move and they don't want you to know. Number 7 will leave you speechless. Share this before it gets DELETED forever!,1
"The health ministry signed a trade agreement with a neighbouring country, according to a statement released on Tuesday. The measure is expected to take effect later this year.",0
BANNED VIDEO: a secret cabal is rigging prices to control the population and they don't want you to know. This is the truth THEY have hidden for years. Spread the truth before your account is shadow-banned!,1
"The central bank agreed to extend the existing ceasefire by another month, according to documents seen by local media. Several economists welcomed the decision while urging caution.",0
"The government approved funding for a major transport project, according to figures published this week. The opposition called for further details before giving its support.",0
BANNED VIDEO: a secret cabal is rigging prices to control the population and they don't want you to know. Number 7 will leave you speechless. Spread the truth before your account is shadow-banned!,1
"ALERT: this stock will make you a millionaire overnight, guaranteed and they don't want you to know. Number 7 will leave you speechless. Forward to everyone you love before it's too late!",1
"URGENT: this one weird trick cures every disease overnight and doctors hate it and they don't want you to know. Insiders who spoke out have already gone missing. The powerful don't want you to see this, hurry!",1
"The government presented the annual budget to parliament, according to preliminary data reviewed on Friday. Several economists welcomed the decision while urging caution.",0
THEY LIED: 5G towers are secretly controlling your mind and the weather and they don't want you to know. The mainstream media is PAID to keep you in the dark. Forward to everyone you love before it's too late!,1
WAKE UP: the news you watch is scripted by the same twelve families and they don't want you to know. Number 7 will leave you speechless. Watch before this is scrubbed from the internet!,1
"The health ministry signed a trade agreement with a neighbouring country, according to documents seen by local media. Critics argued the plan did not go far enough.",0
"The prime minister opened a review of housing affordability rules, a spokesperson told reporters on Thursday. Markets reacted modestly to the news.",0
"WAKE UP: this stock will make you a millionaire overnight, guaranteed and they don't want you to know. Wake up before it is too late. Click now before THEY ban it!",1
"The government reported progress in talks over the disputed border, the agency confirmed in a written notice. The measure is expected to take effect later this year.",0
LEAKED: a secret cabal is rigging prices to control the population and they don't want you to know. The mainstream media is PAID to keep you in the dark. Save this post before it vanishes tonight!,1
"MUST SEE before deleted: aliens have been advising world leaders since 2026 and the proof is finally leaking out despite a massive cover-up. Click now, this changes absolutely everything you thought you knew.",1
"Iran said on Tuesday it would pause negotiations with the United States and warned it could move to block shipping through the Strait of Hormuz. Analysts noted that any disruption to the waterway, which carries a large share of the world's oil, could push energy prices higher.",0
"The central bank imposed new limits on certain imports, a spokesperson told reporters on Thursday. Markets reacted modestly to the news.",0
MUST SEE: a miracle pill melts fat instantly while you sleep and they don't want you to know. This is the truth THEY have hidden for years. Forward to everyone you love before it's too late!,1
BREAKING: the news you watch is scripted by the same twelve families and they don't want you to know. The mainstream media is PAID to keep you in the dark. Watch before this is scrubbed from the internet!,1
BANNED VIDEO: 5G towers are secretly controlling your mind and the weather and they don't want you to know. Insiders who spoke out have already gone missing. Click now before THEY ban it!,1
"The trade ministry announced new measures to ease inflation, according to a statement released on Tuesday. Community groups said they would monitor how the rules are applied.",0
ALERT: elites are planning a one-world takeover this year and they don't want you to know. Insiders who spoke out have already gone missing. Click now before THEY ban it!,1
BANNED VIDEO: the news you watch is scripted by the same twelve families and they don't want you to know. Insiders who spoke out have already gone missing. Save this post before it vanishes tonight!,1
"WARNING 5G towers installed this year are secretly controlling the weather and they're lying to your face about it. The whistleblower who exposed it has gone missing, share before they erase this completely.",1
BOMBSHELL: the news you watch is scripted by the same twelve families and they don't want you to know. The mainstream media is PAID to keep you in the dark. Save this post before it vanishes tonight!,1
"The health ministry reported progress in talks over the disputed border, according to preliminary data reviewed on Friday. The opposition called for further details before giving its support.",0
"The government opened a review of housing affordability rules, a spokesperson told reporters on Thursday. Several economists welcomed the decision while urging caution.",0
"The president approved funding for a major transport project, the ministry said in an official release. Further talks are scheduled in the coming weeks.",0
"The finance ministry agreed to extend the existing ceasefire by another month, according to figures published this week. Several economists welcomed the decision while urging caution.",0
"The trade ministry imposed new limits on certain imports, the ministry said in an official release. The opposition called for further details before giving its support.",0
WAKE UP: the election was stolen by a hidden algorithm nobody is allowed to mention and they don't want you to know. Wake up before it is too late. Spread the truth before your account is shadow-banned!,1
BREAKING: a secret cabal is rigging prices to control the population and they don't want you to know. This is the truth THEY have hidden for years. Click now before THEY ban it!,1
MUST SEE: a miracle pill melts fat instantly while you sleep and they don't want you to know. This is the truth THEY have hidden for years. Spread the truth before your account is shadow-banned!,1
"The transport authority outlined reforms to the public health system, according to documents seen by local media. The opposition called for further details before giving its support.",0
EXPOSED: free unlimited energy exists but big corporations buried it and they don't want you to know. Wake up before it is too late. Save this post before it vanishes tonight!,1
"The president confirmed the timeline for the upcoming election, according to documents seen by local media. Several economists welcomed the decision while urging caution.",0
"The national weather service approved funding for a major transport project, the agency confirmed in a written notice. Markets reacted modestly to the news.",0
"The finance ministry unveiled a relief package for areas hit by drought, according to preliminary data reviewed on Friday. Further talks are scheduled in the coming weeks.",0
"MUST SEE: this stock will make you a millionaire overnight, guaranteed and they don't want you to know. This is the truth THEY have hidden for years. Watch before this is scrubbed from the internet!",1
"BOMBSHELL: elites are planning a one-world takeover this year and they don't want you to know. Insiders who spoke out have already gone missing. Do this NOW, you won't believe what happens next!",1
"The national weather service raised the minimum wage for the coming year, according to preliminary data reviewed on Friday. Markets reacted modestly to the news.",0
"ALERT the election was RIGGED by a secret algorithm and insiders are leaking the proof THEY don't want public. The media is being PAID to ignore it, so spread this everywhere before your account is shadow-banned.",1
"Officials opened a review of housing affordability rules, the agency confirmed in a written notice. Analysts said the move was broadly in line with expectations.",0
EXPOSED: a banned remedy reverses aging in just three days and they don't want you to know. Insiders who spoke out have already gone missing. Click now before THEY ban it!,1
THEY LIED: the news you watch is scripted by the same twelve families and they don't want you to know. Number 7 will leave you speechless. Forward to everyone you love before it's too late!,1
"Lawmakers unveiled a relief package for areas hit by drought, a spokesperson told reporters on Thursday. Community groups said they would monitor how the rules are applied.",0
INSANE: a secret cabal is rigging prices to control the population and they don't want you to know. Insiders who spoke out have already gone missing. Forward to everyone you love before it's too late!,1
"The central bank agreed to extend the existing ceasefire by another month, according to documents seen by local media. Critics argued the plan did not go far enough.",0
"A parliamentary committee presented the annual budget to parliament, according to documents seen by local media. Several economists welcomed the decision while urging caution.",0
"The prime minister unveiled a relief package for areas hit by drought, a spokesperson told reporters on Thursday. Several economists welcomed the decision while urging caution.",0
THEY LIED: the government is hiding aliens who advise world leaders and they don't want you to know. Wake up before it is too late. Watch before this is scrubbed from the internet!,1
"The government launched an inquiry into the recent data breach, according to figures published this week. Several economists welcomed the decision while urging caution.",0
BANNED VIDEO: the news you watch is scripted by the same twelve families and they don't want you to know. This is the truth THEY have hidden for years. Spread the truth before your account is shadow-banned!,1
BREAKING: a banned remedy reverses aging in just three days and they don't want you to know. Big corporations have tried to bury this a thousand times. Share this before it gets DELETED forever!,1
EXPOSED: a miracle pill melts fat instantly while you sleep and they don't want you to know. Big corporations have tried to bury this a thousand times. Spread the truth before your account is shadow-banned!,1
INSANE: the news you watch is scripted by the same twelve families and they don't want you to know. Big corporations have tried to bury this a thousand times. Click now before THEY ban it!,1
"WAKE UP: this one weird trick cures every disease overnight and doctors hate it and they don't want you to know. Number 7 will leave you speechless. Do this NOW, you won't believe what happens next!",1
"A regulator signed a trade agreement with a neighbouring country, according to a statement released on Tuesday. Markets reacted modestly to the news.",0
LEAKED: this one weird trick cures every disease overnight and doctors hate it and they don't want you to know. The mainstream media is PAID to keep you in the dark. Watch before this is scrubbed from the internet!,1
"Lawmakers outlined reforms to the public health system, officials said at a news conference on Wednesday. Further talks are scheduled in the coming weeks.",0
BOMBSHELL: elites are planning a one-world takeover this year and they don't want you to know. Wake up before it is too late. Spread the truth before your account is shadow-banned!,1
"THEY LIED: a secret cabal is rigging prices to control the population and they don't want you to know. Number 7 will leave you speechless. Do this NOW, you won't believe what happens next!",1
"The president agreed to extend the existing ceasefire by another month, according to documents seen by local media. Several economists welcomed the decision while urging caution.",0
LEAKED: free unlimited energy exists but big corporations buried it and they don't want you to know. This is the truth THEY have hidden for years. Forward to everyone you love before it's too late!,1
"The interior ministry reported a steady drop in unemployment over the quarter, according to a statement released on Tuesday. The measure is expected to take effect later this year.",0
"The prime minister unveiled a relief package for areas hit by drought, according to figures published this week. The measure is expected to take effect later this year.",0
"Election officials launched an inquiry into the recent data breach, the ministry said in an official release. The measure is expected to take effect later this year.",0
"The interior ministry presented the annual budget to parliament, a spokesperson told reporters on Thursday. Critics argued the plan did not go far enough.",0
"The national weather service outlined reforms to the public health system, the ministry said in an official release. Analysts said the move was broadly in line with expectations.",0
"Russia's crude oil exports reached their highest level since before the 2022 invasion of Ukraine, according to shipping data reviewed this month. The rise coincided with higher global oil prices linked to tensions in the Middle East.",0
"A parliamentary committee raised the minimum wage for the coming year, a spokesperson told reporters on Thursday. Community groups said they would monitor how the rules are applied.",0
"A regulator issued a flood warning for low-lying coastal areas, the agency confirmed in a written notice. The opposition called for further details before giving its support.",0
INSANE: the news you watch is scripted by the same twelve families and they don't want you to know. Number 7 will leave you speechless. Spread the truth before your account is shadow-banned!,1
"A magnitude 6.1 earthquake struck a coastal region early on Sunday, prompting brief evacuations and minor damage to older buildings, according to the national seismological agency. No deaths were reported, though aftershocks were expected.",0
"The trade ministry reported progress in talks over the disputed border, according to a statement released on Tuesday. Several economists welcomed the decision while urging caution.",0
"Lawmakers unveiled a relief package for areas hit by drought, according to a statement released on Tuesday. Community groups said they would monitor how the rules are applied.",0
"SECRET government file proves oil prices are rigged by a hidden cabal to enslave the working class, and they're terrified you'll find out. Click here for the banned report before it's wiped from every server tonight.",1
SHOCKING: the election was stolen by a hidden algorithm nobody is allowed to mention and they don't want you to know. Big corporations have tried to bury this a thousand times. Forward to everyone you love before it's too late!,1
"ALERT: this stock will make you a millionaire overnight, guaranteed and they don't want you to know. Big corporations have tried to bury this a thousand times. Spread the truth before your account is shadow-banned!",1
"URGENT: this stock will make you a millionaire overnight, guaranteed and they don't want you to know. Number 7 will leave you speechless. Forward to everyone you love before it's too late!",1
"The interior ministry set out a plan to expand renewable energy capacity, according to a statement released on Tuesday. Community groups said they would monitor how the rules are applied.",0
"MUST SEE: a miracle pill melts fat instantly while you sleep and they don't want you to know. Number 7 will leave you speechless. Do this NOW, you won't believe what happens next!",1
BANNED VIDEO: free unlimited energy exists but big corporations buried it and they don't want you to know. Big corporations have tried to bury this a thousand times. Click now before THEY ban it!,1
"Officials signed a trade agreement with a neighbouring country, according to figures published this week. Analysts said the move was broadly in line with expectations.",0
ALERT: a secret cabal is rigging prices to control the population and they don't want you to know. Insiders who spoke out have already gone missing. Watch before this is scrubbed from the internet!,1
They don't want you to see this: a celebrity revealed the shocking secret behind the new currency and was instantly silenced by the powerful people who run everything from the shadows.,1
MUST SEE: vaccines contain microchips that track your every move and they don't want you to know. Number 7 will leave you speechless. Click now before THEY ban it!,1
"The defence ministry announced new measures to ease inflation, officials said at a news conference on Wednesday. Several economists welcomed the decision while urging caution.",0
EXPOSED: vaccines contain microchips that track your every move and they don't want you to know. Big corporations have tried to bury this a thousand times. Share this before it gets DELETED forever!,1
"The national weather service raised the minimum wage for the coming year, according to a statement released on Tuesday. Markets reacted modestly to the news.",0
"Election officials imposed new limits on certain imports, according to preliminary data reviewed on Friday. The measure is expected to take effect later this year.",0
MUST SEE: vaccines contain microchips that track your every move and they don't want you to know. The mainstream media is PAID to keep you in the dark. Watch before this is scrubbed from the internet!,1
"URGENT: the new migration law secretly installs mind-control chips through the water supply, according to a whistleblower THEY tried to silence. Forward this to everyone you love right now before the truth is scrubbed from the web.",1
"The government issued a flood warning for low-lying coastal areas, according to preliminary data reviewed on Friday. Analysts said the move was broadly in line with expectations.",0
"Health authorities reported that a seasonal vaccination campaign had reached most of its target age groups, citing figures from the regional health department. Clinics said demand stayed steady through the spring as the programme wound down.",0
"The central bank reported progress in talks over the disputed border, the agency confirmed in a written notice. Several economists welcomed the decision while urging caution.",0
"The national weather service reported progress in talks over the disputed border, officials said at a news conference on Wednesday. Further talks are scheduled in the coming weeks.",0
"A parliamentary committee set out a plan to expand renewable energy capacity, the ministry said in an official release. Critics argued the plan did not go far enough.",0
"The central bank of a major economy left rates unchanged but trimmed its growth forecast for the year, citing weaker exports and softer consumer spending. Markets were little changed after the announcement.",0
WAKE UP: 5G towers are secretly controlling your mind and the weather and they don't want you to know. The mainstream media is PAID to keep you in the dark. Watch before this is scrubbed from the internet!,1
"BREAKING: this stock will make you a millionaire overnight, guaranteed and they don't want you to know. Number 7 will leave you speechless. Share this before it gets DELETED forever!",1
SHOCKING: 5G towers are secretly controlling your mind and the weather and they don't want you to know. The mainstream media is PAID to keep you in the dark. Forward to everyone you love before it's too late!,1
"The health ministry announced new measures to ease inflation, according to documents seen by local media. Several economists welcomed the decision while urging caution.",0
"A parliamentary committee unveiled a relief package for areas hit by drought, according to a statement released on Tuesday. Further talks are scheduled in the coming weeks.",0
"URGENT: free unlimited energy exists but big corporations buried it and they don't want you to know. Insiders who spoke out have already gone missing. Do this NOW, you won't believe what happens next!",1
"The trade ministry set out a plan to expand renewable energy capacity, officials said at a news conference on Wednesday. Critics argued the plan did not go far enough.",0
INSANE: the election was stolen by a hidden algorithm nobody is allowed to mention and they don't want you to know. Big corporations have tried to bury this a thousand times. Forward to everyone you love before it's too late!,1
"Officials launched an inquiry into the recent data breach, according to documents seen by local media. Critics argued the plan did not go far enough.",0
"Lawmakers unveiled a relief package for areas hit by drought, according to preliminary data reviewed on Friday. Critics argued the plan did not go far enough.",0
"Officials confirmed the new high-speed rail line would open to passengers next month after final safety testing. The project, delayed twice by funding gaps, is expected to cut travel time between the two cities by roughly half.",0
"The health ministry agreed to extend the existing ceasefire by another month, officials said at a news conference on Wednesday. Further talks are scheduled in the coming weeks.",0
"A parliamentary committee issued a flood warning for low-lying coastal areas, according to preliminary data reviewed on Friday. Markets reacted modestly to the news.",0
"The president signed a trade agreement with a neighbouring country, officials said at a news conference on Wednesday. The measure is expected to take effect later this year.",0
URGENT: a secret cabal is rigging prices to control the population and they don't want you to know. Wake up before it is too late. Click now before THEY ban it!,1
"INSANE: a secret cabal is rigging prices to control the population and they don't want you to know. Number 7 will leave you speechless. Do this NOW, you won't believe what happens next!",1
"SHOCKING leak proves the war was secretly staged by global elites to crash the economy, and THEY don't want you to know the truth. Share this before it gets deleted forever because the mainstream media is being PAID to hide what really happened.",1
A regulator opened a review of a large technology company's data-sharing practices following complaints from consumer groups. The company said it would cooperate fully and defended its handling of user information in a written statement.,0
BREAKING: this one weird trick cures every disease overnight and doctors hate it and they don't want you to know. Insiders who spoke out have already gone missing. Share this before it gets DELETED forever!,1
"Officials set out a plan to expand renewable energy capacity, the agency confirmed in a written notice. Critics argued the plan did not go far enough.",0
LEAKED: free unlimited energy exists but big corporations buried it and they don't want you to know. Big corporations have tried to bury this a thousand times. Save this post before it vanishes tonight!,1
"The United States embassy in Beirut confirmed that Hezbollah had accepted a proposal for a mutual cessation of attacks with Israel. Officials said the Lebanese government received written confirmation of the arrangement, which is meant to ease fighting along the southern border.",0
"The trade ministry reported progress in talks over the disputed border, the ministry said in an official release. Markets reacted modestly to the news.",0
"The central bank unveiled a relief package for areas hit by drought, according to documents seen by local media. Further talks are scheduled in the coming weeks.",0
"Election officials announced new measures to ease inflation, according to a statement released on Tuesday. Critics argued the plan did not go far enough.",0
"URGENT: free unlimited energy exists but big corporations buried it and they don't want you to know. Wake up before it is too late. The powerful don't want you to see this, hurry!",1
"The national weather service launched an inquiry into the recent data breach, according to preliminary data reviewed on Friday. Analysts said the move was broadly in line with expectations.",0
THEY LIED: the election was stolen by a hidden algorithm nobody is allowed to mention and they don't want you to know. Number 7 will leave you speechless. Click now before THEY ban it!,1
"BREAKING: the government is hiding aliens who advise world leaders and they don't want you to know. Insiders who spoke out have already gone missing. The powerful don't want you to see this, hurry!",1
"The European Union advanced an overhaul of its migration policy this week, moving ahead with measures that would increase deportations and set up processing centres outside the bloc. Member states are expected to debate the details before the rules take effect.",0
URGENT: a miracle pill melts fat instantly while you sleep and they don't want you to know. Insiders who spoke out have already gone missing. Watch before this is scrubbed from the internet!,1
BOMBSHELL: the government is hiding aliens who advise world leaders and they don't want you to know. Wake up before it is too late. Forward to everyone you love before it's too late!,1
"A regulator announced new measures to ease inflation, according to preliminary data reviewed on Friday. The measure is expected to take effect later this year.",0
"Lawmakers confirmed the timeline for the upcoming election, officials said at a news conference on Wednesday. The opposition called for further details before giving its support.",0
"The finance ministry reported a steady drop in unemployment over the quarter, according to documents seen by local media. Community groups said they would monitor how the rules are applied.",0
THEY LIED: 5G towers are secretly controlling your mind and the weather and they don't want you to know. This is the truth THEY have hidden for years. Forward to everyone you love before it's too late!,1
"URGENT: the government is hiding aliens who advise world leaders and they don't want you to know. This is the truth THEY have hidden for years. Do this NOW, you won't believe what happens next!",1
BREAKING: the election was stolen by a hidden algorithm nobody is allowed to mention and they don't want you to know. Big corporations have tried to bury this a thousand times. Forward to everyone you love before it's too late!,1
"The government signed a trade agreement with a neighbouring country, according to a statement released on Tuesday. The measure is expected to take effect later this year.",0
"ALERT: elites are planning a one-world takeover this year and they don't want you to know. The mainstream media is PAID to keep you in the dark. The powerful don't want you to see this, hurry!",1
"Election officials outlined reforms to the public health system, according to documents seen by local media. Markets reacted modestly to the news.",0
"A regulator approved funding for a major transport project, officials said at a news conference on Wednesday. Further talks are scheduled in the coming weeks.",0
INSANE: the government is hiding aliens who advise world leaders and they don't want you to know. Insiders who spoke out have already gone missing. Share this before it gets DELETED forever!,1
"The trade ministry imposed new limits on certain imports, according to preliminary data reviewed on Friday. Community groups said they would monitor how the rules are applied.",0
URGENT: elites are planning a one-world takeover this year and they don't want you to know. Number 7 will leave you speechless. Click now before THEY ban it!,1
"The president outlined reforms to the public health system, according to figures published this week. Several economists welcomed the decision while urging caution.",0
"EXPOSED: the so-called ceasefire is a HOAX and the real plan is a secret one-world government takeover set for 2026. Wake up, sheeple, the proof THEY tried to bury is finally out and you won't believe number 7.",1
"The national weather service imposed new limits on certain imports, the agency confirmed in a written notice. Analysts said the move was broadly in line with expectations.",0
"INSANE this one trick makes you rich overnight and banks are DESPERATE to hide it from ordinary people. The elite tried to ban this video a thousand times, watch and share before it disappears.",1
"The health ministry signed a trade agreement with a neighbouring country, officials said at a news conference on Wednesday. Several economists welcomed the decision while urging caution.",0
BOMBSHELL: the government is hiding aliens who advise world leaders and they don't want you to know. The mainstream media is PAID to keep you in the dark. Watch before this is scrubbed from the internet!,1
"WAKE UP: the news you watch is scripted by the same twelve families and they don't want you to know. This is the truth THEY have hidden for years. Do this NOW, you won't believe what happens next!",1
ALERT: a secret cabal is rigging prices to control the population and they don't want you to know. Number 7 will leave you speechless. Click now before THEY ban it!,1
"LEAKED: 5G towers are secretly controlling your mind and the weather and they don't want you to know. Insiders who spoke out have already gone missing. The powerful don't want you to see this, hurry!",1
INSANE: the government is hiding aliens who advise world leaders and they don't want you to know. Number 7 will leave you speechless. Watch before this is scrubbed from the internet!,1
"Lawmakers agreed to extend the existing ceasefire by another month, the ministry said in an official release. The measure is expected to take effect later this year.",0
